# Region      : all 
# Cells       : 1
# Volume      : 2.500000e+01
# Time        	max(psi4)	max(psi5)	max(psi6)	max(psi7)	max(psi77)	max(psi777)	max(psi8)	max(psiIN)	max(T)	max(Xc)	max(XH2)	max(X1)	max(X2)	max(X3)	max(X4)	max(X5)	max(X6)	max(X7)	max(X77)	max(X777)	max(X8)	max(pH)	max(Hplus)	max(H2)	max(CO2)	max(amm)	max(CH4)
1             	1.574985e-01	1.305119e-01	2.149174e-01	1.149033e-02	1.698551e-02	1.190504e-02	3.889098e-02	1.030003e+02	3.080000e+02	1.614702e+00	4.785415e-03	1.686336e-02	1.686336e-02	2.107920e-02	1.374206e-02	9.571986e-03	6.439075e-03	2.501991e-03	2.563017e-03	1.391163e-03	8.639714e-03	7.000000e+00	1.000000e-04	2.070486e-03	2.730316e-01	3.000000e-02	9.125731e-03
2             	1.773558e-01	8.211782e-02	3.664240e-01	4.903023e-02	7.106280e-02	4.924265e-02	1.660076e-01	1.030014e+02	3.080000e+02	1.078336e+00	6.840966e-03	1.121771e-02	1.121771e-02	1.402214e-02	2.605375e-02	2.417395e-02	7.165254e-03	2.836696e-03	3.357317e-03	1.479790e-03	8.540772e-03	7.000000e+00	1.000000e-04	3.592103e-03	5.126517e-01	3.000000e-02	4.330142e-02
3             	9.299385e-02	2.105945e-02	4.606501e-01	7.707264e-02	1.154209e-01	9.678627e-02	3.123604e-01	1.030023e+02	3.080000e+02	7.537501e-01	9.753986e-03	7.800233e-03	7.800233e-03	9.750291e-03	4.375101e-02	3.593869e-02	8.183049e-03	3.714104e-03	5.776144e-03	1.700616e-03	8.488550e-03	7.000000e+00	1.000000e-04	2.263993e-03	8.298290e-01	3.000000e-02	9.046499e-02
4             	3.476159e-02	1.127674e-02	5.188011e-01	8.576436e-02	1.213334e-01	1.256166e-01	4.233549e-01	1.030026e+02	3.080000e+02	5.574803e-01	1.207056e-02	5.733634e-03	5.733634e-03	7.167043e-03	5.566830e-02	4.129194e-02	9.462411e-03	5.131149e-03	1.089019e-02	2.037507e-03	8.455370e-03	7.000000e+00	1.000000e-04	1.298025e-03	1.215316e+00	3.000000e-02	1.273451e-01
5             	1.876985e-02	7.802197e-03	5.532713e-01	8.537050e-02	9.858529e-02	1.380180e-01	5.201693e-01	1.030028e+02	3.080000e+02	4.388891e-01	1.395373e-02	4.484804e-03	4.484804e-03	5.606005e-03	6.146573e-02	4.475470e-02	1.101388e-02	7.374717e-03	1.923647e-02	2.478345e-03	8.431452e-03	7.000000e+00	1.000000e-04	1.050762e-03	1.653759e+00	3.000000e-02	1.566451e-01
6             	1.359584e-02	6.007740e-03	5.712380e-01	7.529129e-02	6.415493e-02	1.447657e-01	6.157279e-01	1.030030e+02	3.080000e+02	3.673671e-01	1.581016e-02	3.731446e-03	3.731446e-03	4.664308e-03	6.504835e-02	4.723922e-02	1.286385e-02	1.101120e-02	2.872610e-02	3.033083e-03	8.413786e-03	7.000000e+00	1.000000e-04	9.395799e-04	2.140751e+00	3.000000e-02	1.848064e-01
7             	1.108284e-02	4.998378e-03	5.767410e-01	5.510386e-02	3.699727e-02	1.490467e-01	7.069183e-01	1.030031e+02	3.080000e+02	3.243666e-01	1.766715e-02	3.278344e-03	3.278344e-03	4.097930e-03	6.767547e-02	4.914443e-02	1.504672e-02	1.629613e-02	3.607544e-02	3.724990e-03	8.400764e-03	7.000000e+00	1.000000e-04	8.473108e-04	2.669157e+00	3.000000e-02	2.122636e-01
8             	9.656579e-03	4.401176e-03	5.719287e-01	3.216560e-02	2.108565e-02	1.483051e-01	7.935943e-01	1.030031e+02	3.080000e+02	2.986214e-01	1.952853e-02	3.006932e-03	3.006932e-03	3.758665e-03	6.976993e-02	5.069832e-02	1.760054e-02	2.185138e-02	4.076186e-02	4.580900e-03	8.391234e-03	7.000000e+00	1.000000e-04	7.790645e-04	3.227628e+00	3.000000e-02	2.390917e-01
9             	8.794751e-03	4.032214e-03	5.578351e-01	1.681309e-02	1.257065e-02	1.383414e-01	8.781711e-01	1.030032e+02	3.080000e+02	2.832870e-01	2.141365e-02	2.845178e-03	2.845178e-03	3.556472e-03	7.154405e-02	5.203546e-02	2.056294e-02	2.569399e-02	4.372058e-02	5.615408e-03	8.384462e-03	7.000000e+00	1.000000e-04	7.328658e-04	3.807421e+00	3.000000e-02	2.656088e-01
10            	8.247741e-03	3.793564e-03	5.348957e-01	9.783612e-03	8.446719e-03	1.194889e-01	9.637138e-01	1.030033e+02	3.080000e+02	2.742166e-01	2.336917e-02	2.749416e-03	2.749416e-03	3.436769e-03	7.311936e-02	5.323600e-02	2.396565e-02	2.775530e-02	4.565077e-02	6.815532e-03	8.379985e-03	7.000000e+00	1.000000e-04	7.089826e-04	4.403255e+00	3.000000e-02	2.925514e-01
