# Region      : all 
# Cells       : 1
# Volume      : 2.500000e+01
# Time        	max(psi4)	max(psi5)	max(psi6)	max(psi7)	max(psi77)	max(psi777)	max(psi8)	max(psiIN)	max(T)	max(Xc)	max(XH2)	max(X1)	max(X2)	max(X3)	max(X4)	max(X5)	max(X6)	max(X7)	max(X8)	max(pH)	max(Hplus)	max(H2)	max(CO2)	max(amm)	max(CH4)
1             	2.172418e-03	1.902436e-03	2.703222e-03	2.020340e-04	2.574684e-04	2.103427e-04	5.012522e-04	1.030000e+02	3.080000e+02	4.992170e-02	4.220957e-03	4.588584e-04	4.588584e-04	5.735690e-04	9.842176e-03	5.237511e-03	6.081455e-03	2.452663e-03	8.626053e-03	7.000000e+00	1.000000e-04	2.489376e-05	2.666282e-01	3.000000e-02	9.999503e-05
2             	6.747602e-03	5.544585e-03	9.799126e-03	7.334611e-04	1.061343e-03	8.027808e-04	2.559387e-03	1.030000e+02	3.080000e+02	8.011691e-02	4.172697e-03	7.767043e-04	7.767043e-04	9.708803e-04	9.857478e-03	5.344722e-03	5.987290e-03	2.410263e-03	8.456965e-03	7.000000e+00	1.000000e-04	8.695095e-05	4.553513e-01	3.000000e-02	6.738158e-04
3             	1.160261e-02	8.914510e-03	1.934949e-02	1.797687e-03	2.661375e-03	2.013819e-03	6.935104e-03	1.030000e+02	3.080000e+02	9.842235e-02	4.170815e-03	9.693881e-04	9.693881e-04	1.211735e-03	1.010813e-02	5.669654e-03	5.930169e-03	2.379498e-03	8.295024e-03	7.000000e+00	1.000000e-04	1.631074e-04	6.420317e-01	3.000000e-02	1.992803e-03
4             	1.567143e-02	1.116733e-02	3.010602e-02	3.331564e-03	4.949081e-03	3.789147e-03	1.368312e-02	1.030001e+02	3.080000e+02	1.095293e-01	4.218862e-03	1.086286e-03	1.086286e-03	1.357858e-03	1.059132e-02	6.196822e-03	5.914667e-03	2.366759e-03	8.142385e-03	7.000000e+00	1.000000e-04	2.394951e-04	8.280080e-01	3.000000e-02	4.132721e-03
5             	1.853616e-02	1.215132e-02	4.133684e-02	5.213422e-03	7.726326e-03	6.015910e-03	2.262232e-02	1.030002e+02	3.080000e+02	1.162816e-01	4.315191e-03	1.157333e-03	1.157333e-03	1.446667e-03	1.128106e-02	6.886975e-03	5.941567e-03	2.377152e-03	8.000478e-03	7.000000e+00	1.000000e-04	3.080579e-04	1.014588e+00	3.000000e-02	7.073796e-03
6             	2.013901e-02	1.211101e-02	5.261117e-02	7.293780e-03	1.074976e-02	8.559814e-03	3.346124e-02	1.030002e+02	3.080000e+02	1.204020e-01	4.455523e-03	1.200667e-03	1.200667e-03	1.500833e-03	1.214102e-02	7.688939e-03	6.010200e-03	2.414458e-03	7.869896e-03	7.000000e+00	1.000000e-04	3.641970e-04	1.202952e+00	3.000000e-02	1.074100e-02
7             	2.063909e-02	1.145639e-02	6.367253e-02	9.423204e-03	1.376452e-02	1.127997e-02	4.587822e-02	1.030003e+02	3.080000e+02	1.229339e-01	4.634312e-03	1.227269e-03	1.227269e-03	1.534086e-03	1.312916e-02	8.550775e-03	6.119586e-03	2.481427e-03	7.750532e-03	7.000000e+00	1.000000e-04	4.065151e-04	1.394099e+00	3.000000e-02	1.502920e-02
8             	2.031173e-02	1.056256e-02	7.436444e-02	1.148020e-02	1.654112e-02	1.404300e-02	5.959364e-02	1.030004e+02	3.080000e+02	1.245081e-01	4.845933e-03	1.243785e-03	1.243785e-03	1.554732e-03	1.420185e-02	9.431197e-03	6.268945e-03	2.580305e-03	7.641814e-03	7.000000e+00	1.000000e-04	4.362976e-04	1.588839e+00	3.000000e-02	1.982682e-02
9             	1.946222e-02	9.666131e-03	8.458692e-02	1.338267e-02	1.889886e-02	1.673636e-02	7.441312e-02	1.030004e+02	3.080000e+02	1.255064e-01	5.085637e-03	1.254233e-03	1.254233e-03	1.567791e-03	1.531887e-02	1.030485e-02	6.457893e-03	2.713486e-03	7.542941e-03	7.000000e+00	1.000000e-04	4.563018e-04	1.787827e+00	3.000000e-02	2.503493e-02
10            	1.835880e-02	8.868973e-03	9.427112e-02	1.507993e-02	2.071101e-02	1.927634e-02	9.023075e-02	1.030005e+02	3.080000e+02	1.261592e-01	5.350030e-03	1.261039e-03	1.261039e-03	1.576299e-03	1.644779e-02	1.116004e-02	6.686483e-03	2.884066e-03	7.453046e-03	7.000000e+00	1.000000e-04	4.694911e-04	1.991603e+00	3.000000e-02	3.057737e-02
11            	1.719615e-02	8.191620e-03	1.033647e-01	1.653713e-02	2.190249e-02	2.160915e-02	1.070062e-01	1.030006e+02	3.080000e+02	1.266060e-01	5.637079e-03	1.265672e-03	1.265672e-03	1.582090e-03	1.756611e-02	1.199328e-02	6.955186e-03	3.096156e-03	7.371292e-03	7.000000e+00	1.000000e-04	4.782393e-04	2.200636e+00	3.000000e-02	3.640181e-02
12            	1.609024e-02	7.621513e-03	1.118236e-01	1.772327e-02	2.244989e-02	2.370617e-02	1.247337e-01	1.030006e+02	3.080000e+02	1.269309e-01	5.945778e-03	1.269019e-03	1.269019e-03	1.586273e-03	1.866080e-02	1.280463e-02	7.264838e-03	3.354887e-03	7.296906e-03	7.000000e+00	1.000000e-04	4.840653e-04	2.415342e+00	3.000000e-02	4.247466e-02
13            	1.509417e-02	7.138829e-03	1.196073e-01	1.860641e-02	2.238364e-02	2.555613e-02	1.434157e-01	1.030007e+02	3.080000e+02	1.271850e-01	6.275697e-03	1.271616e-03	1.271616e-03	1.589520e-03	1.972602e-02	1.359533e-02	7.616576e-03	3.666077e-03	7.229193e-03	7.000000e+00	1.000000e-04	4.877439e-04	2.636091e+00	3.000000e-02	4.877361e-02
14            	1.422078e-02	6.725778e-03	1.266766e-01	1.915484e-02	2.178564e-02	2.715669e-02	1.630445e-01	1.030007e+02	3.080000e+02	1.273990e-01	6.626583e-03	1.273787e-03	1.273787e-03	1.592234e-03	2.076049e-02	1.436673e-02	8.011762e-03	4.035471e-03	7.167526e-03	7.000000e+00	1.000000e-04	4.895954e-04	2.863191e+00	3.000000e-02	5.528104e-02
15            	1.346220e-02	6.368404e-03	1.329928e-01	1.934268e-02	2.077687e-02	2.850694e-02	1.835972e-01	1.030008e+02	3.080000e+02	1.275913e-01	6.998112e-03	1.275727e-03	1.275727e-03	1.594658e-03	2.176527e-02	1.512007e-02	8.451905e-03	4.467485e-03	7.111338e-03	7.000000e+00	1.000000e-04	4.897698e-04	3.096873e+00	3.000000e-02	6.197996e-02
16            	1.280285e-02	6.056091e-03	1.385177e-01	1.915836e-02	1.949561e-02	2.960164e-02	2.050396e-01	1.030009e+02	3.080000e+02	1.277728e-01	7.389825e-03	1.277549e-03	1.277549e-03	1.596937e-03	2.274230e-02	1.585641e-02	8.938574e-03	4.963542e-03	7.060117e-03	7.000000e+00	1.000000e-04	4.884110e-04	3.337276e+00	3.000000e-02	6.885273e-02
17            	1.222628e-02	5.780730e-03	1.432142e-01	1.861372e-02	1.807320e-02	3.042746e-02	2.273338e-01	1.030009e+02	3.080000e+02	1.279497e-01	7.801127e-03	1.279321e-03	1.279321e-03	1.599151e-03	2.369367e-02	1.657666e-02	9.473296e-03	5.520324e-03	7.013399e-03	7.000000e+00	1.000000e-04	4.856802e-04	3.584448e+00	3.000000e-02	7.588114e-02
18            	1.171800e-02	5.536046e-03	1.470476e-01	1.775041e-02	1.661626e-02	3.096234e-02	2.504446e-01	1.030010e+02	3.080000e+02	1.281253e-01	8.231293e-03	1.281077e-03	1.281077e-03	1.601346e-03	2.462131e-02	1.728162e-02	1.005745e-02	6.128619e-03	6.970767e-03	7.000000e+00	1.000000e-04	4.817098e-04	3.838360e+00	3.000000e-02	8.304629e-02
